mae,rmse,r2,mape,smape,max_abs_error,model,horizon,split,rank
0.010290162284277298,0.013584499780990265,0.9991040918171057,0.33593393023187995,0.3352678648670938,0.0595727028113191,ElasticNet,1,test,1.0
0.010678292811157846,0.014481628938154845,0.9989818517202241,0.3303713279699655,0.3300413215264055,0.0680197125857478,LastValue,1,test,2.0
0.010581458865688561,0.014516073087979565,0.9989770026859532,0.32462006363295004,0.3246087945153221,0.07692838603134655,HistoricalLinear,1,test,3.0
0.011015482202364457,0.014516383973918526,0.9989769588670934,0.3630470728457772,0.36217196594470835,0.05799271783782567,Lasso,1,test,4.0
0.012682894983300738,0.01665235762255496,0.998653743976923,0.4189570745558292,0.4178821071091831,0.06390048394854109,Ridge,1,test,5.0
0.015654330958100798,0.021524411033985117,0.9977507446886247,0.5326582066216856,0.5302048109941836,0.06119060443256119,LinearRegression,1,test,6.0
0.020799389868111116,0.02938871659741907,0.9958068785375235,0.727932735582351,0.7221938673610793,0.0864547388712289,WeightedEnsemble,1,test,7.0
0.30337659915232096,0.47214728195615246,-0.08225895708714392,11.046817166792062,9.616905757376133,1.4022518006689944,ExtraTrees,1,test,8.0
0.30657739534327283,0.4742209297167932,-0.09178628980492443,11.142100780405253,9.702867593706605,1.4058964004477006,RandomForest,1,test,9.0
0.30543447573855553,0.47968076383472447,-0.11707107502783076,11.15926086658308,9.68550966500228,1.416953579481568,HistGradientBoosting,1,test,10.0
0.008056401325350952,0.01100614885687718,0.9994119057060266,0.2509382849987849,0.25078923495747946,0.060799765513725124,ElasticNet,1,test_final,1.0
0.008554857774064646,0.011518240650912446,0.9979368358538062,0.23974286752519755,0.23961648128996263,0.058701560985746415,ElasticNet,1,validation,1.0
0.008802003950380747,0.01179574648396902,0.9978362237674983,0.24701014061307972,0.24684338851105364,0.05927493782434157,Lasso,1,validation,2.0
0.00961410817198809,0.012725545061291236,0.997481660530042,0.27181200324602145,0.2715965348567832,0.055393245725264606,Ridge,1,validation,3.0
0.010566161908746714,0.014404305278446241,0.9967733926404629,0.29361200203046206,0.29346493041193916,0.0675089464734775,LastValue,1,validation,4.0
0.010881187601997995,0.014535270330970301,0.9967144527851438,0.3101307196222834,0.3096746229737424,0.05433265050390812,WeightedEnsemble,1,validation,5.0
0.010949174892046805,0.014636475058865643,0.9966685409447572,0.31221127999845316,0.31175965025293745,0.05289280810217001,LinearRegression,1,validation,6.0
0.010765193767543079,0.014725817399270093,0.99662774577252,0.2987651634207852,0.29877636014779124,0.07107745535947751,HistoricalLinear,1,validation,7.0
0.0633366754608573,0.11787568201638511,0.783922312636474,1.8987848218868522,1.83597541181835,0.5077283969398909,ExtraTrees,1,validation,8.0
0.0733139344406229,0.12313025041717487,0.7642286602112263,2.1492186623446248,2.088224269544322,0.5113118954992313,RandomForest,1,validation,9.0
0.06803668122955359,0.12327995497522878,0.7636549993769188,2.0318061475654425,1.9636493976176759,0.5190217710697556,HistGradientBoosting,1,validation,10.0
0.012170433596372768,0.01719850006863049,0.9985689715318496,0.37371447597685725,0.3736662576206798,0.12936146659256753,HistoricalLinear,5,test,1.0
0.013322914123114038,0.01798105142540315,0.9984357819438194,0.4500726809037658,0.4484085859692035,0.059008639721634726,ElasticNet,5,test,2.0
0.013393877891410005,0.018029034026689837,0.9984274225445439,0.4522454497409613,0.4505698083476608,0.06028765133113323,Lasso,5,test,3.0
0.014247817329122479,0.019108109368409676,0.9982335450532074,0.47669450059011725,0.4750199576405912,0.058139442309541156,Ridge,5,test,4.0
0.017024157135140442,0.021831221477065996,0.9976941916918574,0.5624617324696928,0.5599328685739411,0.08481809936457285,LastValue,5,test,5.0
0.01731461687293646,0.02399491631373354,0.9972144843184999,0.5897868695059604,0.5866779100573822,0.06664474923786567,LinearRegression,5,test,6.0
0.023474704070802807,0.033767693964119154,0.9944834198186324,0.8266266469128284,0.8189191962189577,0.10232945824619666,WeightedEnsemble,5,test,7.0
0.2965525039886368,0.4659882204883685,-0.05055067349330056,10.831899013920083,9.431764203452857,1.389959894015894,ExtraTrees,5,test,8.0
0.30095707120114207,0.4697059731289254,-0.06738057420276378,10.9699418501048,9.552035029004822,1.3969855770232162,RandomForest,5,test,9.0
0.30108812367776705,0.4757256374716169,-0.09491458783123097,11.026631520625843,9.571796465550692,1.4102182518426116,HistGradientBoosting,5,test,10.0
0.008895626132184467,0.012025104748820648,0.9993004079513009,0.28236272399818363,0.2820413580245824,0.059344907780586986,Lasso,5,test_final,1.0
0.00979394618747562,0.012856543178379629,0.997452252215183,0.2772087415641661,0.276913949460686,0.05988246060621272,Lasso,5,validation,1.0
0.009744664949749004,0.012875565753025736,0.9974447073291265,0.27625738911976405,0.27595820040745445,0.05852205701526891,ElasticNet,5,validation,2.0
0.010652023541466833,0.01424606652296056,0.9968717752831853,0.30372281489646186,0.30331769484299725,0.055698506075581466,Ridge,5,validation,3.0
0.01210760811939419,0.016385620072166138,0.9958615875798383,0.34716399473684423,0.3464851548493691,0.06284459533012132,WeightedEnsemble,5,validation,4.0
0.012055312040168424,0.01643857128357793,0.9958347972572377,0.3458732716057187,0.34518164462577194,0.05603945503787555,LinearRegression,5,validation,5.0
0.012746366266091384,0.017424730330401702,0.9953200615821304,0.35388236082530816,0.3538787222409895,0.08830359493508899,HistoricalLinear,5,validation,6.0
0.013986405063803607,0.017950490714833886,0.9950333831446074,0.3945616572134359,0.39361682542843657,0.08958600183877241,LastValue,5,validation,7.0
0.06207643888557766,0.11473712697278161,0.7970841605563794,1.858542968632375,1.7991848092153757,0.5037816586744479,ExtraTrees,5,validation,8.0
0.07149445197697317,0.12075445790157745,0.7752424173737977,2.098281250182427,2.0395152652162514,0.5096952625198585,RandomForest,5,validation,9.0
0.0650649501524541,0.12077903123342558,0.775150932475861,1.954393368930467,1.8878904492355058,0.5196350753050045,HistGradientBoosting,5,validation,10.0
0.014807120363918258,0.021183097309823852,0.9978317865579583,0.45459889114929564,0.45442202870072557,0.13246324726767345,HistoricalLinear,10,test,1.0
0.017371893627483485,0.02435357873051228,0.9971341814553546,0.6016393394676883,0.5979943481347145,0.07128744873429094,Lasso,10,test,2.0
0.017372894747933024,0.024454338354636264,0.9971104185289507,0.6019128418830595,0.5982402743631405,0.07097635719061612,ElasticNet,10,test,3.0
0.021154732615432617,0.030625444506995697,0.995468020759611,0.7396106634387113,0.733706375085268,0.08518344335966077,Ridge,10,test,4.0
0.024669832666600233,0.03546504966146366,0.9939225099754622,0.8592093589954407,0.851360799161736,0.09316878393599426,LinearRegression,10,test,5.0
0.028096163389699117,0.036257436150326464,0.9936479005086113,0.9549977221135928,0.9465888227468926,0.09215898092921648,LastValue,10,test,6.0
0.030267529452352136,0.045233732196977884,0.99011337742788,1.0801895735164424,1.0657332792631988,0.1279354332430711,WeightedEnsemble,10,test,7.0
0.2936327551201798,0.461930944252193,-0.03104405464955806,10.730549814549867,9.351263933725203,1.3819563550925853,ExtraTrees,10,test,8.0
0.29642903534409165,0.4661492876688107,-0.04996098066126087,10.83197203833929,9.43032572743312,1.389177770513415,RandomForest,10,test,9.0
0.3006762568641355,0.47444434982339245,-0.0876612793705942,11.01072357558754,9.562176750611105,1.4035950875877723,HistGradientBoosting,10,test,10.0
0.010097227042808424,0.013289507548493092,0.9991466230929806,0.32542795982288275,0.3249200926076018,0.06935477894833486,Lasso,10,test_final,1.0
0.01122436965206714,0.014946086102683095,0.9965811794510924,0.32119976775532255,0.320606841961949,0.05415330531402729,Lasso,10,validation,1.0
0.011213311360249889,0.015048033093967907,0.9965343809576683,0.3212306117576302,0.320625748242383,0.05281372510176041,ElasticNet,10,validation,2.0
0.012417953187895502,0.01729563733933532,0.9954218028942111,0.3576673783030387,0.35682162757116564,0.05903764451136828,Ridge,10,validation,3.0
0.013535260572743962,0.018848604509625215,0.9945627443922602,0.3902391459126096,0.389149898578286,0.06707404053290222,WeightedEnsemble,10,validation,4.0
0.013856833672302414,0.019385566278046298,0.9942485370083345,0.3992758106553177,0.3981568801680881,0.05929189276826907,LinearRegression,10,validation,5.0
0.015007904032084437,0.020041159263960547,0.9938529460524491,0.41683595819931873,0.41670212226120806,0.09678242076084276,HistoricalLinear,10,validation,6.0
0.02037458244795852,0.025133397542146104,0.9903322870451149,0.5818594424225976,0.5793152861000497,0.08110136897995046,LastValue,10,validation,7.0
0.06211268912069178,0.11320117965972147,0.8038793828633488,1.8545871146118595,1.7973502787282274,0.49575401782068873,ExtraTrees,10,validation,8.0
0.06930842476604938,0.11852235174671075,0.7850082145302174,2.0397166970002356,1.9819828766535177,0.5031587971316913,RandomForest,10,validation,9.0
0.06628737784448585,0.12138679249438353,0.7744908242360145,1.9876872227317253,1.9208147528280923,0.5226386101524394,HistGradientBoosting,10,validation,10.0
0.02575921604892075,0.036800318853010404,0.9935175510550651,0.7929367217298354,0.7921839261008182,0.238827033302615,HistoricalLinear,25,test,1.0
0.02533736914418349,0.038216054854294426,0.9930091876448628,0.8989602587795308,0.8892747014351469,0.09760403642685933,ElasticNet,25,test,2.0
0.02550508806258446,0.03836350179868118,0.9929551390302578,0.9046737683938771,0.8948756441490383,0.09756253854534158,Lasso,25,test,3.0
0.026351759368499098,0.039080730025610654,0.9926892610375906,0.9242680884222332,0.914708194741401,0.0995208089310915,Ridge,25,test,4.0
